flux,flux_err,timecorr,cadenceno,centroid_col,centroid_row,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
7141.5635,9.272263,0.0037944696,730550,1306.9070363641843,1439.0598402302335,6648.299,7.722257,1015.3712,2.398472,7141.5635,9.272263,0,,,,,1306.9070363641843,0.000817287,1439.0598402302335,0.00082942424,-0.014450924,-0.013802351
7112.1084,9.262167,0.0037945015,730551,1306.9067918746714,1439.0628321904642,6623.617,7.7138495,1017.11597,2.4010758,7112.1084,9.262167,0,,,,,1306.9067918746714,0.0008181826,1439.0628321904642,0.0008316159,-0.017660752,-0.009639204
7123.892,9.269995,0.0037945334,730552,1306.909572720889,1439.0618268539497,6637.2285,7.7203684,1015.53644,2.3988225,7123.892,9.269995,0,,,,,1306.909572720889,0.00081784965,1439.0618268539497,0.00083055254,-0.014001662,-0.01415229
7130.85,9.267722,0.0037945653,730553,1306.9045170647362,1439.0592299463055,6640.842,7.718476,1014.5801,2.398915,7130.85,9.267722,0,,,,,1306.9045170647362,0.0008176816,1439.0592299463055,0.000828967,-0.018494727,-0.013219472
7139.3906,9.267856,0.003794597,730554,1306.907364637242,1439.061318262891,6647.615,7.718587,1012.38214,2.3948612,7139.3906,9.267856,0,,,,,1306.907364637242,0.0008164262,1439.061318262891,0.00082856894,-0.017189668,-0.013394564
7108.5723,9.25944,0.003794629,730555,1306.9061436853524,1439.0597351255967,6620.113,7.7115784,1020.706,2.4021277,7108.5723,9.25944,0,,,,,1306.9061436853524,0.000818018,1439.0597351255967,0.00083118066,-0.017254306,-0.011337862
7121.436,9.264947,0.0037946606,730556,1306.908400673953,1439.0620165815028,6633.7695,7.7161646,1014.2042,2.3992717,7121.436,9.264947,0,,,,,1306.908400673953,0.00081806345,1439.0620165815028,0.0008301275,-0.014306057,-0.012038939
7100.383,9.258189,0.0037946925,730557,1306.905083791462,1439.0585184017677,6616.258,7.7105365,1020.97644,2.4009147,7100.383,9.258189,0,,,,,1306.905083791462,0.00081867335,1439.0585184017677,0.0008320479,-0.019003429,-0.01422719
7119.188,9.264289,0.0037947244,730558,1306.9066404544503,1439.0626046182156,6631.1396,7.7156167,1016.9995,2.39897,7119.188,9.264289,0,,,,,1306.9066404544503,0.0008178423,1439.0626046182156,0.0008309329,-0.014962811,-0.012014358
7118.558,9.266902,0.003794756,730559,1306.9086474636463,1439.0615588362389,6628.596,7.717792,1015.7413,2.40026,7118.558,9.266902,0,,,,,1306.9086474636463,0.00081910036,1439.0615588362389,0.00083081203,-0.015382096,-0.009226485
